order_id,date,customer,city,category,amount,discount,payment_method
1001,2026-01-03,Alice,London,Books,120,,Card
1002,2026-01-04,Bob,London,Games,60,0.10,Cash
1003,2026-01-05,Chris,Paris,Books,,0.05,Online
1004,2026-01-07,Alice,Paris,Games,80,,Card
1005,2026-01-08,Dina,Berlin,Books,50,0.00,Online
1006,2026-01-10,Bob,Berlin,Books,70,0.15,Card
1007,2026-01-12,Chris,London,Games,90,,Cash
1008,2026-01-13,Evan,Rome,Electronics,250,0.20,Card
1009,2026-01-14,Fatima,Madrid,Clothing,45,,Online
1010,2026-01-15,Alice,,Books,35,0.00,Cash
1011,2026-01-16,Bob,Paris,Electronics,,0.10,Online
1012,2026-01-17,Dina,London,Clothing,110,0.05,Card
1013,2026-01-18,Chris,Berlin,Games,75,,Cash
1014,2026-01-19,Evan,London,Books,95,0.00,Online
1015,2026-01-20,Fatima,Paris,Books,130,0.10,Card
1016,2026-01-21,Alice,Berlin,Electronics,200,,Card
1017,2026-01-22,Bob,Rome,Clothing,65,0.05,Cash
1018,2026-01-23,Chris,Madrid,Books,,0.00,Online
1019,2026-01-24,Dina,Paris,Games,55,0.15,Card
1020,2026-01-25,Evan,,Clothing,85,,Online
